page_version,session_duration,bounce_rate,conversion_rate
A,248.9711249708212,0.2255837712905947,0.05134243962840498
A,396.19468114599186,0.26517126346219705,0.048561546510450415
A,260.3158151120911,0.20156285093141263,0.04375270627620355
A,271.83605813142714,0.20594349504682555,0.07055424991024146
A,282.54156301772696,0.24204665551802773,0.052929751118115945
A,275.79900168420716,0.3255878415639919,0.0978753563521566
A,305.67031600715734,0.2506479911023484,0.0717127134252176
A,302.8766588460747,0.2780290103274485,0.05574801364134074
A,272.6886769742123,0.3961617961012065,0.07474091571166624
A,342.8166594088836,0.34536106314742276,0.07865502042194196
A,340.5478693013531,0.38226280389412726,0.0801606650890901
A,278.41172558958976,0.29256530690357585,0.05476942629447007
A,378.91054554696734,0.2882836919443864,0.07378131275887992
A,281.91817116905077,0.27755511788289633,0.04758275200707018
A,256.8661276664452,0.3961596390417239,0.07390400646975492
A,259.66320342227544,0.39349286196577277,0.06562001010578215
A,333.2164004610712,0.20576243339167802,0.04979183850205193
A,338.22797848310563,0.27452994439658884,0.05255814985002604
A,303.6473670530792,0.3688336850298467,0.047513340751591894
A,448.9733736137823,0.22431951664403998,0.09833409194148873
A,331.6258941989997,0.23622082941745626,0.09620819507407052
A,328.63777412426913,0.21245086322827508,0.08189958827553448
A,368.1225180439924,0.3432369838723984,0.09404778077157258
A,340.03721609093617,0.38900456961576,0.06659137685237951
A,252.84863920954615,0.24645669517459112,0.06965084980113218
A,313.3153914674725,0.3842697440838749,0.05135110516905398
A,314.88879532821994,0.24073933978194034,0.09062053578120292
A,290.2584550461129,0.38272807358690375,0.07481561024940858
A,355.7946753669686,0.2604631996998421,0.04361140808317694
A,272.5460874277367,0.20332339994812884,0.09165703375999394
A,318.62280609891565,0.3556384354369017,0.07002987035835549
A,348.4929227659369,0.34819902035552686,0.06426686830710317
A,255.30949669229483,0.21413741167116243,0.048248719033414905
A,268.3914081143958,0.3130000065035655,0.05409093049354899
A,308.1647772598504,0.22519634658309368,0.08510496787831906
A,372.0442975875734,0.38215985039018713,0.06000822125168125
A,301.31273599760067,0.23219879805257962,0.07664137743836308
A,297.5104868037265,0.33776726206463925,0.058476724429341584
A,274.9511197146175,0.3638864074316224,0.09410135638183004
A,212.22871859242014,0.225426147183178,0.08695957761456023
A,242.90793744408376,0.21537532191495512,0.056067791972173285
A,385.17887225659945,0.26184385967114754,0.07574954441454025
A,325.9409795702833,0.227186086327423,0.0622283111504532
A,296.9067123171804,0.25816497375127834,0.06885481975279285
A,292.93062534482897,0.36913202947236123,0.07983085431223788
A,226.47970375795245,0.3263217883182997,0.04071869253761358
A,337.6315578205365,0.2794305805876707,0.04722677905752907
A,266.1118504390063,0.3585233389312993,0.05636886883952293
A,324.4632250786756,0.2288736885435218,0.06331073849732523
A,371.2033849615534,0.39080711654579736,0.06965919980499523
B,352.50154553981184,0.3037130252959853,0.09262807372410137
B,342.00962346010886,0.2696965419247527,0.06115807637757257
B,384.84255943807807,0.2930207735675953,0.05664444237825993
